id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1119787933767279490,Modern Frankston South Holiday House wth Bay View,34247003,Juliet,,Frankston,-38.159671406322275,145.10515441983588,Entire home/apt,429,3,4,2024-06-24,0.94,51,161,4,
1119818357409107955,Monash comfort,374488754,Lana,,Monash,-37.88514442587714,145.12868206948042,Private room,65,2,6,2024-08-16,1.24,1,47,6,
1119818567486177004,Tranquil 2-Bed Apt near ST Kilda Garden,104431444,James,,Port Phillip,-37.8711414,144.9825022,Entire home/apt,,3,6,2024-05-26,1.12,58,17,6,
1119826718915231908,Studio in middle city FREE tram,13512177,Jas,,Melbourne,-37.807394002777166,144.96154970030315,Entire home/apt,82,1,2,2024-07-23,1.25,11,259,2,
1119827875350523670,Top New CBD 2BR Apt Melbourne,555444070,Max,,Melbourne,-37.8102,144.96095,Entire home/apt,142,1,5,2024-08-20,1.03,39,0,5,
1119842592738121984,Family Holiday Paradise 3Bbr Home w Pool(TF222302),477176282,Tiffany CH,,Frankston,-38.159450070878925,145.1392902501082,Entire home/apt,228,1,4,2024-08-03,0.92,7,148,4,
1119857002710089209,Studio in middle city FREE tram,173801070,Sora,,Melbourne,-37.80594173215461,144.9616592165819,Entire home/apt,82,1,2,2024-08-15,0.56,9,259,2,
1119883068802207404,Harbour View Luxury Living | Victoria Point,104431444,James,,Melbourne,-37.8182325,144.9467801,Entire home/apt,161,3,6,2024-09-02,1.25,58,19,6,
1119883310597559861,Skygarden Modern Lux 2BR Retreat in Glen Waverley,22860147,Adji,,Monash,-37.87668991053226,145.16386147199276,Entire home/apt,179,3,3,2024-08-29,0.64,105,129,3,
1120020216262504754,Lovely Cosy Private Whole Studio Room Central 905,475618723,Tuan,,Melbourne,-37.8200193,144.9578273,Entire home/apt,86,1,16,2024-08-19,3.04,20,194,16,
1120053024013596047,City living at its finest,207245351,Nadine,,Melbourne,-37.8262325,144.9590025,Entire home/apt,139,3,6,2024-08-07,1.15,1,333,6,
1120097959857021118,A little Oasis,231396538,Abhi,,Melbourne,-37.8069882,144.9610136,Private room,116,1,1,2024-08-12,1,1,269,1,
1120124682994093186,Spacious home in WeirViews,544193618,Fay,,Melton,-37.727151230089476,144.57481726976704,Entire home/apt,220,2,10,2024-08-29,2.04,1,214,10,
1124900379949548373,Zuv's Artsy Nest,433630639,Zuv,,Wyndham,-37.90437,144.60987,Entire home/apt,130,1,16,2024-09-02,3.64,1,243,16,
1124906063782207821,own paradise next to la Trobe,536511541,Amy,,Darebin,-37.7143717102046,145.03926249281872,Shared room,84,3,0,,,38,270,0,
1124916192397871371,Cosy Room with Queen Bed in a perfect location,169190472,Gonzalo,,Stonnington,-37.84881,145.00957,Private room,70,1,12,2024-09-02,2.32,3,37,12,
1124936115231375636,"Private room, great location!",387599050,Giovanni,,Melbourne,-37.78058,144.93868,Private room,90,1,0,,,1,269,0,
1124996932386516677,Location is everything!,126529387,Rowena,,Port Phillip,-37.862831093789616,144.98957784805387,Private room,93,2,0,,,1,88,0,
1124997133749768470,"Yarra Valley Luxury 4 BR home, sleeps 10",12336757,Tinne,,Yarra Ranges,-37.6073238905969,145.43599959828632,Entire home/apt,1455,2,0,,,4,343,0,
1125009370472241985,全新独立房,569959466,Li,,Moonee Valley,-37.7551124,144.8564273,Shared room,95,1,0,,,1,270,0,
1125027130954190833,New room with big kitchen,124898958,Geetha,,Monash,-37.9271212,145.1804982,Private room,50,1,0,,,1,269,0,
